 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xullo 03, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\11Li_silicon.txt

 Ion = Lithium [3] , Mass = 11,04372 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
999,999 eV    1,587E+01  5,477E+01      83 A        64 A        48 A   
   1,10 keV   1,664E+01  5,523E+01      89 A        69 A        51 A   
   1,20 keV   1,738E+01  5,558E+01      96 A        73 A        54 A   
   1,30 keV   1,809E+01  5,585E+01     103 A        78 A        57 A   
   1,40 keV   1,877E+01  5,606E+01     109 A        82 A        60 A   
   1,50 keV   1,943E+01  5,620E+01     116 A        87 A        63 A   
   1,60 keV   2,007E+01  5,630E+01     122 A        91 A        66 A   
   1,70 keV   2,069E+01  5,636E+01     129 A        95 A        69 A   
   1,80 keV   2,129E+01  5,639E+01     136 A       100 A        72 A   
   2,00 keV   2,244E+01  5,636E+01     149 A       108 A        79 A   
   2,25 keV   2,380E+01  5,620E+01     165 A       118 A        86 A   
   2,50 keV   2,509E+01  5,594E+01     182 A       128 A        93 A   
   2,75 keV   2,631E+01  5,561E+01     199 A       137 A       100 A   
   3,00 keV   2,748E+01  5,523E+01     215 A       147 A       107 A   
   3,25 keV   2,860E+01  5,481E+01     232 A       157 A       114 A   
   3,50 keV   2,968E+01  5,437E+01     249 A       166 A       121 A   
   3,75 keV   3,072E+01  5,391E+01     266 A       175 A       128 A   
   4,00 keV   3,173E+01  5,344E+01     282 A       185 A       135 A   
   4,50 keV   3,366E+01  5,248E+01     316 A       203 A       149 A   
   5,00 keV   3,548E+01  5,152E+01     350 A       220 A       162 A   
