 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xaneiro 19, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\1H_silicon.txt

 Ion = Hydrogen [1] , Mass = 1,008 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   7,267E+01  9,800E-01    1342 A       519 A       488 A   
  11,00 keV   7,606E+01  9,272E-01    1452 A       538 A       511 A   
  12,00 keV   7,936E+01  8,806E-01    1558 A       554 A       532 A   
  13,00 keV   8,254E+01  8,391E-01    1662 A       569 A       552 A   
  14,00 keV   8,560E+01  8,020E-01    1762 A       583 A       571 A   
  15,00 keV   8,851E+01  7,684E-01    1861 A       596 A       589 A   
  16,00 keV   9,128E+01  7,379E-01    1957 A       608 A       605 A   
  17,00 keV   9,390E+01  7,101E-01    2051 A       619 A       621 A   
  18,00 keV   9,637E+01  6,846E-01    2143 A       629 A       636 A   
  20,00 keV   1,009E+02  6,394E-01    2323 A       648 A       664 A   
  22,50 keV   1,057E+02  5,916E-01    2540 A       669 A       696 A   
  25,00 keV   1,098E+02  5,513E-01    2751 A       688 A       726 A   
  27,50 keV   1,132E+02  5,167E-01    2956 A       704 A       752 A   
  30,00 keV   1,160E+02  4,867E-01    3157 A       720 A       778 A   
  32,50 keV   1,183E+02  4,604E-01    3355 A       734 A       801 A   
  35,00 keV   1,202E+02  4,372E-01    3550 A       747 A       824 A   
  37,50 keV   1,216E+02  4,164E-01    3744 A       759 A       845 A   
  40,00 keV   1,228E+02  3,977E-01    3937 A       771 A       866 A   
  45,00 keV   1,242E+02  3,655E-01    4320 A       793 A       905 A   
