 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> xaneiro 19, 2024 
 ==================================================================

 Disk File Name = SRIM Outputs\3He_silicon.txt

 Ion = Helium [2] , Mass = 3,016029 amu

 Target Density =  2,3212E+00 g/cm3 = 4,9770E+22 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
     Si     14    100,00    100,00   
 ====================================
 Bragg Correction = 0,00%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10,00 keV   6,165E+01  7,889E+00     991 A       577 A       483 A   
  11,00 keV   6,476E+01  7,551E+00    1084 A       609 A       514 A   
  12,00 keV   6,790E+01  7,246E+00    1175 A       639 A       544 A   
  13,00 keV   7,105E+01  6,968E+00    1265 A       667 A       572 A   
  14,00 keV   7,422E+01  6,715E+00    1353 A       693 A       599 A   
  15,00 keV   7,737E+01  6,482E+00    1440 A       717 A       625 A   
  16,00 keV   8,051E+01  6,267E+00    1525 A       740 A       650 A   
  17,00 keV   8,361E+01  6,069E+00    1608 A       762 A       673 A   
  18,00 keV   8,667E+01  5,885E+00    1690 A       782 A       695 A   
  20,00 keV   9,265E+01  5,553E+00    1849 A       819 A       737 A   
  22,50 keV   9,986E+01  5,195E+00    2040 A       860 A       785 A   
  25,00 keV   1,068E+02  4,887E+00    2223 A       896 A       828 A   
  27,50 keV   1,134E+02  4,618E+00    2399 A       928 A       868 A   
  30,00 keV   1,198E+02  4,381E+00    2569 A       957 A       904 A   
  32,50 keV   1,259E+02  4,171E+00    2733 A       982 A       937 A   
  35,00 keV   1,319E+02  3,983E+00    2892 A      1006 A       968 A   
  37,50 keV   1,376E+02  3,814E+00    3046 A      1027 A       997 A   
  40,00 keV   1,431E+02  3,660E+00    3195 A      1047 A      1024 A   
  45,00 keV   1,537E+02  3,391E+00    3483 A      1082 A      1073 A   
